ID,Date_of_Birth,Email,AI_Score,Demographic_Group,Status
APP-00001,01-18-1985,applicant_1@email.com,64,Group_C,Active
APP-00002,1989-03-05,applicant.num_2@email.com,71,Group_C,Active
APP-00003,1983-03-24,applicant.num_3@email.com,53,Group_B,Active
APP-00004,1989-07-05,applicant_4@email.com,69,Group_A,Active
APP-00005,1985-06-26,applicant_5@email.com,55,Group_B,Active
APP-00006,1982-11-17,applicant_6email.com,69,Group_B,Active
APP-00007,1986-01-13,applicant_7@email.com,85,Group_C,Active
APP-00008,08-18-1998,applicant_8@email.com,70,Group_B,Inactive
APP-00009,1999-02-12,applicant_9@email.com,87,Group_A,Active
APP-00010,1984-03-09,applicant_10@email.com,82,Group_A,Active
APP-00011,1991-06-26,applicant.num_11@email.com,52,Group_B,Active
APP-00012,01-13-1991,applicant.num_12@email.com,65,Group_A,Active
APP-00013,1994-12-12,applicant.num_13@email.com,83,Group_A,Inactive
APP-00014,1988-08-07,applicant_14@email.com,81,Group_B,Active
APP-00015,1991-08-05,applicant_15@email.com,71,Group_C,Active
APP-00016,06-05-1999,applicant_16@email.com,75,Group_C,Inactive
APP-00017,1987-07-05,applicant_17@email.com,null,Group_A,Active
APP-00018,1990-08-06,applicant_18@email.com,82,Group_A,Active
APP-00019,06-28-1983,applicant_19@email.com,91,Group_A,Active
APP-00020,1999-05-10,applicant_20@email.com,84,Group_A,Inactive
APP-00021,1992-11-10,applicant_21@email.com,65,Group_A,Active
APP-00022,1998-07-16,applicant_22@email.com,68,Group_C,Active
APP-00023,1987-02-08,applicant_23@email.com,61,Group_C,Active
APP-00024,1992-06-02,applicant_24@email.com,null,Group_B,Active
APP-00025,08-06-1989,applicant_25@email.com,80,Group_C,Active
APP-00026,1991-03-03,applicant_26@email.com,61,Group_A,Active
APP-00027,1994-07-03,applicant_27@email.com,78,Group_B,Inactive
APP-00028,1982-01-11,applicant_28email.com,75,Group_C,Active
APP-00029,1982-10-24,applicant_29@email.com,78,Group_A,Active
APP-00030,1997-12-12,applicant_30@email.com,60,Group_B,Inactive
APP-00031,1993-11-17,applicant_31@email.com,72,Group_A,Active
APP-00032,1991-11-26,applicant_32@email.com,73,Group_A,Active
APP-00033,1982-08-15,applicant_33@email.com,,Group_B,Active
APP-00034,1995-10-06,applicant_34@email.com,71,Group_B,Active
APP-00035,1983-10-24,applicant_35@email.com,55,Group_B,Active
APP-00036,1998-01-28,applicant_36@email.com,70,Group_A,Active
APP-00037,2000-12-10,applicant_37@email.com,63,Group_C,Active
APP-00038,1992-07-13,applicant_38@email.com,79,Group_C,Active
APP-00039,1999-05-04,applicant_39@email.com,59,Group_A,Inactive
APP-00040,1986-07-22,applicant_40@email.com,74,Group_C,Active
APP-00041,1999-01-19,applicant_41@email.com,59,Group_C,Active
APP-00042,1984-10-04,applicant_42@email.com,65,Group_A,Active
APP-00043,1988-07-19,applicant_43@email.com,78,Group_C,Active
APP-00044,12-25-1998,applicant_44@email.com,80,Group_C,Inactive
APP-00045,1983-11-16,applicant_45email.com,90,Group_A,Active
APP-00046,10-16-1989,applicant_46@email.com,82,Group_A,Active
APP-00047,1989-05-16,applicant_47@email.com,74,Group_A,Active
APP-00048,1980-12-14,applicant_48@email.com,55,Group_B,Active
APP-00049,1984-10-03,applicant_49@email.com,66,Group_B,Active
APP-00050,1982-04-15,applicant_50@email.com,56,Group_B,Active
APP-00051,1982-12-31,applicant_51email.com,81,Group_C,Active
APP-00052,1990-11-18,applicant_52@email.com,89,Group_A,Active
APP-00053,1990-06-03,applicant.num_53@email.com,55,Group_C,Active
APP-00054,1985-06-30,applicant_54@email.com,80,Group_B,Active
APP-00055,1983-03-12,applicant_55@email.com,52,Group_B,Inactive
APP-00056,2000-07-22,applicant.num_56@email.com,62,Group_C,Active
APP-00057,1986-05-12,applicant_57@email.com,73,Group_C,Active
APP-00058,2000-08-06,applicant_58@email.com,50,Group_C,Active
APP-00059,2000-01-23,applicant_59@email.com,72,Group_C,Inactive
APP-00060,1993-09-12,applicant_60email.com,64,Group_B,Active
APP-00061,1989-01-28,applicant_61@email.com,79,Group_A,Active
APP-00062,12-25-1991,applicant_62@email.com,77,Group_C,Active
APP-00063,1983-04-14,applicant_63@email.com,67,Group_A,Active
APP-00064,1984-11-27,applicant_64@email.com,57,Group_B,Active
APP-00065,1988-10-26,applicant_65@email.com,77,Group_C,Active
APP-00066,1992-10-25,applicant.num_66@email.com,74,Group_C,Active
APP-00067,1987-08-22,applicant_67@email.com,80,Group_A,Active
APP-00068,06-16-1986,applicant_68@email.com,81,Group_C,Inactive
APP-00069,1980-03-25,applicant_69email.com,63,Group_B,Active
APP-00070,1998-09-06,applicant.num_70@email.com,87,Group_A,Inactive
APP-00071,1998-10-05,applicant_71@email.com,77,Group_B,Inactive
APP-00072,1999-10-19,applicant_72@email.com,null,Group_A,Active
